0,0,0,0,0,0,424606,424383,424988,424792,424339,424633,113,91,119,131,137,107,0.013735,0.02747
0,0,0,0,0,0,424886,425300,424826,424696,425182,424616,121,96,144,146,133,102,0.017785,0.03557
0,0,0,0,0,0,425030,425060,424997,424539,425021,424673,111,101,94,100,93,138,0.01385,0.0277
0,0,0,0,0,0,425127,425091,425434,424730,424630,425527,106,112,112,90,143,143,0.013,0.026
0,0,0,0,0,0,425010,425451,424875,425031,424776,424761,107,137,96,100,94,138,0.014145,0.02829
0,0,0,0,0,0,424375,423925,424086,424651,424540,424527,140,133,108,100,150,95,0.012165,0.02433
3373.62,5060.44,4217.03,6747.25,1686.81,2530.22,422663,422925,423163,422383,422588,422167,97,130,141,102,106,99,0.001215,0.00243
319018,478527,398773,638036,159509,239264,422015,422285,421668,421570,421702,422451,128,125,145,130,120,105,0.00314,0.00628
1204930,1807390,1506160,2409860,602464,903696,421811,422139,421942,421381,422275,421586,92,111,140,131,131,136,0.00833,0.01666
2110090,3165140,2637620,4220190,1055050,1582570,423400,423025,423516,423060,423034,423759,117,99,149,121,135,121,0.019725,0.03945
2927640,4391450,3659550,5855270,1463820,2195730,423880,423395,423380,424104,424176,423659,112,107,139,109,147,113,0.015905,0.03181
2914010,4371010,3642510,5828020,1457000,2185510,423905,424094,423405,423702,424351,424358,99,100,138,118,132,142,0.01913,0.03826
2715510,4073260,3394380,5431010,1357750,2036630,423650,424019,423924,423200,423321,423657,136,103,141,109,145,110,0.012405,0.02481
2344040,3516060,2930050,4688080,1172020,1758030,423798,423928,424026,423776,423904,423421,130,130,117,95,100,126,0.01325,0.0265
1315900,1973850,1644870,2631800,657949,986924,423687,423923,423506,423644,423250,423603,90,114,129,143,139,137,0.01396,0.02792
347887,521830,434858,695773,173943,260915,422888,423114,422806,422908,422735,423091,138,144,132,117,107,150,0.012845,0.02569
87090.8,130636,108864,174182,43545.4,65318.1,420880,421380,421063,420826,420672,420816,124,125,139,99,119,148,0.010705,0.02141
0,0,0,0,0,0,417782,418171,417963,417432,417792,417389,107,110,118,129,145,140,0.01181,0.02362
0,0,0,0,0,0,417373,417106,417078,417159,417699,417639,115,116,101,147,132,137,0.016655,0.03331
0,0,0,0,0,0,418491,418297,418828,418825,418826,418090,109,132,114,143,114,131,0.014265,0.02853
0,0,0,0,0,0,418916,418767,419125,419112,419143,418857,121,140,146,130,100,141,0.015605,0.03121
0,0,0,0,0,0,419267,419280,419596,419345,419096,419111,133,138,118,102,145,128,0.015165,0.03033
0,0,0,0,0,0,421769,421860,421363,421950,422071,421566,141,141,113,100,102,136,0.01518,0.03036
0,0,0,0,0,0,423162,423508,422743,422993,423294,423420,104,107,121,90,123,114,0.012645,0.02529
